pair,label,timeframe,timestamp,price,direction,confidence,stop_loss,take_profit,risk_reward_ratio,alerted,log_time
XBTUSD,BTC/USD,15m,2026-09-02T23:30:00,77166.0,HOLD,25,,,,False,2026-09-02T23:30:18.840962
PAXGUSD,Gold (PAXG/USD),15m,2026-09-02T23:30:00,4389.73,HOLD,0,,,,False,2026-09-02T23:30:19.463573
ETHUSD,ETH/USD,15m,2026-09-02T23:45:00,2384.16,SELL,50,2393.635127686616,2358.89299283569,2.6666666666666026,False,2026-09-02T23:45:19.950405
XBTUSD,BTC/USD,15m,2026-09-02T23:45:00,77122.9,HOLD,25,,,,False,2026-09-02T23:45:20.327089
PAXGUSD,Gold (PAXG/USD),15m,2026-09-02T23:45:00,4392.66,HOLD,0,,,,False,2026-09-02T23:45:20.701734
ETHUSD,ETH/USD,15m,2026-09-02T23:45:00,2390.98,HOLD,0,,,,False,2026-09-02T23:59:58.485325
XBTUSD,BTC/USD,15m,2026-09-02T23:45:00,77305.2,HOLD,25,,,,False,2026-09-02T23:59:58.937414
PAXGUSD,Gold (PAXG/USD),15m,2026-09-02T23:45:00,4392.0,HOLD,0,,,,False,2026-09-02T23:59:59.928975
ETHUSD,ETH/USD,15m,2026-09-03T00:00:00,2390.45,HOLD,0,,,,False,2026-09-03T00:00:26.136641
XBTUSD,BTC/USD,15m,2026-09-03T00:00:00,77279.7,HOLD,25,,,,False,2026-09-03T00:00:26.715012
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T00:00:00,4392.5,HOLD,0,,,,False,2026-09-03T00:00:27.216702
ETHUSD,ETH/USD,15m,2026-09-03T00:15:00,2386.34,HOLD,0,,,,False,2026-09-03T00:15:22.882354
XBTUSD,BTC/USD,15m,2026-09-03T00:15:00,77141.7,HOLD,25,,,,False,2026-09-03T00:15:23.378572
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T00:15:00,4396.68,HOLD,25,,,,False,2026-09-03T00:15:23.929788
ETHUSD,ETH/USD,15m,2026-09-03T00:30:00,2379.14,SELL,75,2388.8994553246393,2353.114785800961,2.666666666666713,False,2026-09-03T00:30:23.171953
XBTUSD,BTC/USD,15m,2026-09-03T00:30:00,77007.6,SELL,75,77242.96228836698,76379.96723102142,2.666666666666605,False,2026-09-03T00:30:23.522602
